Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
jihe/a4,Text,," Hardy
【I am the second leader now!!】"," 哈迪
【我现在就是二代目了！！】"," 哈迪
【我現在就是二代目了！！】",
jihe/a5,Text,," Hardy
【Everyone should listen to me!!】"," 哈迪
【所有人都得听我的！】"," 哈迪
【所有人都得聽我的！】",
jihe/a6,Text,," Hardy
【Everyone!! Ha ha ha ha ha!!!】"," 哈迪
【所有人！所有人都得听我的！】"," 哈迪
【所有人！所有人都得聽我的！】",
jihe/a7,Text,," Kio
【This guy looks like crazy..】"," Kio
【这个人精神状态好像有点问题。。。】"," Kio
【這個人精神狀態好像有點問題。。。】",
jihe/b0,Text,," Kio
【He was dead for long.】"," Kio
【死掉了好一段时间的尸体。】"," Kio
【死掉了好一段時間的屍體。】",
jihe/b1,Text,," Kio
【Stinky...】"," Kio
【有点臭味了。】"," Kio
【有點臭味了。】",
jihe/gui,Text,," Kio
【There are a lot of game magazines.】"," Kio
【摆放着很多游戏杂志。】"," Kio
【擺放著很多遊戲雜誌。】",
jihe/tv,Text,," Kio
【A brand new TV set!! I like it.】"," Kio
【4K分辨率的电视，好羡慕。】"," Kio
【4K解析度的電視，好羡慕。】",
jihe/key,Text,,Pick a key from the body?,身上有一把钥匙，是否拾取？,身上有一把鑰匙，是否拾取？,
jihe/key1,Text,,Get a key,拾取了一把钥匙,拾取了一把鑰匙,
jihe/climb,Text,,Climb up?,要爬上去吗？,要爬上去嗎？,
qimiao/jie,Text,," Kio
【Ridiculous guy...】"," Kio
【莫名其妙的人。。。。。】"," Kio
【莫名其妙的人。。。。。】",
qimiao/j0,Text,," Jor
【I am going to write a ""dead"" word on your face!!】"," Jor
【我要在你的脸上写一个惨字！！！！！】"," Jor
【我要在你的臉上寫一個慘字！！！！！】",
qimiao/j1,Text,," Jor
【.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】"," Jor
【。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】"," Jor
【。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】",
qimiao/j2,Text,," Jor
【How to spell ""dead""...?】"," Jor
【忘了惨字怎么写了。。。。】"," Jor
【忘了慘字怎麼寫了。。。。】",
qimiao/j3,Text,," Kio
【?????】"," Kio
【？？？？？？？？？？？？？？？】"," Kio
【？？？？？？？？？？？？？？？】",
qimiao/d,Text,," Kio
【A dead man.】"," Kio
【死掉的人。】"," Kio
【死掉的人。】",
qimiao/b,Text,," Kio
【Lots of books.】"," Kio
【有很多书。】"," Kio
【有很多書。】",
qimiao/b1,Text,," Kio
【All of them are porn magazines..】"," Kio
【全部都是色情杂志。】"," Kio
【全部都是色情雜誌。】",
tx/c,Text,," Kio
【I don't want to look at it.】"," Kio
【一堆肠子，好恶心。】"," Kio
【一堆腸子，好噁心。】",
tx/d,Text,," Kio
【A dead man. Feel like he was passed quit long.】"," Kio
【死掉的人，感觉死了有一段时间了。】"," Kio
【死掉的人，感覺死了有一段時間了。】",
tx/b0,Text,," Kio
【His waist was bitten off.】"," Kio
【腰部被咬开了。】"," Kio
【腰部被咬開了。】",
tx/b1,Text,," Kio
【intestines exposed out.】"," Kio
【肠子露出出来。】"," Kio
【腸子露出出來。】",
tx/bb0,Text,," Kio
【Legs broke.】"," Kio
【脚部断了。】"," Kio
【腳部斷了。】",
tx/bb1,Text,," Kio
【A poor guy.】"," Kio
【应该是失血过多而死的。】"," Kio
【應該是失血過多而死的。】",
tx/bbb,Text,," Kio
【I think he is a programmer.】"," Kio
【感觉死者是个程序员。】"," Kio
【感覺死者是個程式師。】",
tx/logo,Text,," Kio
【Who designed this ugly stuff?】"," Kio
【一直不知道这个形象是谁设计的。】"," Kio
【一直不知道這個形象是誰設計的。】",
tx/book,Text,,Read the magazines?,"很多八卦杂志,要认真阅读吗？","很多八卦雜誌,要認真閱讀嗎？",
savepants/al1,Text,,Flat,住宅,住宅,
ll1/a0,Text,," Cat
【Hello.】"," 猫
【你好。】"," 貓
【你好。】",
ll1/a1,Text,," Cat
【If you want to get in a hidden place.】"," 猫
【如果想进入C菌的房间。】"," 貓
【如果想進入C菌的房間。】",
ll1/a2,Text,," Cat
【Please stay here for 5 minutes.】"," 猫
【就在这个房间待5分钟就会自动进入。】"," 貓
【就在這個房間待5分鐘就會自動進入。】",
ll2/a0,Text,," Skeleton
【DO NOT go behind me.】"," 骷髅
【不要走到我身后哦。】"," 骷髏
【不要走到我身後哦。】",
ll2/a1,Text,," Skeleton
【Yes, I warn you.】"," 骷髅
【嗯，我已经警告你了。】"," 骷髏
【嗯，我已經警告你了。】",
savepants/ar2,Text,,Stair well,楼梯间,樓梯間,
rr1/a0,Text,," Kio
【!?!?】"," Kio
【！？？！？】"," Kio
【！？？！？】",
rr1/a1,Text,," Kio
【What!?】"," Kio
【什么东西！？】"," Kio
【什麼東西！？】",
astreet/a0,Text,," Kio
【!!!!!】"," Kio
【！！！！！】"," Kio
【！！！！！】",
astreet/a1,Text,," Kio
【A city!?】"," Kio
【城市！？】"," Kio
【城市！？】",
astreet/a2,Text,," Kio
【What happened to this city!!?】"," Kio
【城市怎么成这样了！！？】"," Kio
【城市怎麼成這樣了！！？】",
astreet/a3,Text,," Kio
【Why was it ruined!?】"," Kio
【怎么被破坏成这样了！？】"," Kio
【怎麼被破壞成這樣了！？】",
astreet/a4,Text,," Kio
【How about my home..was it destroyed too?】"," Kio
【我的家，是不是也被破坏了？】"," Kio
【我的家，是不是也被破壞了？】",
astreet/a5,Text,," Kio
【At first, I have to find a safe place. And figure out what to do next.】"," Kio
【先找个安全的地方整理一下自己的思绪吧。】"," Kio
【先找個安全的地方整理一下自己的思緒吧。】",
astreet/b,Text,," Kio
【!!!】"," Kio
【！！】"," Kio
【！！】",
astreet/b3,Text,," Kio
【!!!!!!】"," Kio
【！！！！】"," Kio
【！！！！】",
astreet/b4,Text,," Kio
【My god!! Zombies!!】"," Kio
【好多僵尸！！！】"," Kio
【好多僵屍！！！】",
astreet/b5,Text,," Kio
【Help!! Somebody helps me!! 】"," Kio
【谁来救救我！！！】"," Kio
【誰來救救我！！！】",
astreet/c0,Text,," Bobo
【Are you all right?】"," 波波
【你没事吧？】"," 波波
【你沒事吧？】",
astreet/c1,Text,," Kio
【Yes, I am. Did you save me?】"," Kio
【是。。。是你救了我吗？】"," Kio
【是。。。是你救了我嗎？】",
astreet/c2,Text,," Bobo
【Yes.】"," 波波
【是的，你没事就好了。】"," 波波
【是的，你沒事就好了。】",
astreet/c3,Text,," Kio
【Thank you very much!! Really!!】"," Kio
【谢！！谢谢你！！！太谢谢你了！！】"," Kio
【謝！！謝謝你！！！太謝謝你了！！】",
astreet/c4,Text,," Bobo
【No worries. Please call me Bobo. How may I call you?】"," 波波
【我叫做波波，请多多指教。】"," 波波
【我叫做波波，請多多指教。】",
astreet/c5,Text,," Kio
【I am kio. I feel fear and hopelessness right now.】"," Kio
【我叫做Kio，我现在根本不知道自己应该能去哪。】"," Kio
【我叫做Kio，我現在根本不知道自己應該能去哪。】",
astreet/c6,Text,," Kio
【I can't get in touch with my friends.】"," Kio
【什么朋友亲人都联系不上。】"," Kio
【什麼朋友親人都聯繫不上。】",
astreet/c7,Text,," Kio
【If you don't save me I was already dead.】"," Kio
【刚刚要不是你救我，可能我就没命了！】"," Kio
【剛剛要不是你救我，可能我就沒命了！】",
astreet/c8,Text,," Bobo
【Calm down please. You are safe now.】"," 波波
【没事，不用跟我客气。】"," 波波
【沒事，不用跟我客氣。】",
astreet/c9,Text,," Bobo
【How about come to my home and take a break?】"," 波波
【不如你现在来我家吧，我家很安全。】"," 波波
【不如你現在來我家吧，我家很安全。】",
astreet/c10,Text,," Bobo
【It's safer and warmer rather than outside.】"," 波波
【外面雨这么大，小心感冒啊。】"," 波波
【外面雨這麼大，小心感冒啊。】",
astreet/c11,Text,," Kio
【Really!? Thank you so much!】"," Kio
【真的吗？！实在太谢谢你了！】"," Kio
【真的嗎？！實在太謝謝你了！】",
astreet/c12,Text,," Bobo
【Follow me. Right there.】"," 波波
【跟我来吧，就在这里。】"," 波波
【跟我來吧，就在這裡。】",
dd/d0,Text,," Bobo
【This way please.】"," 波波
【跟我来，走这边。】"," 波波
【跟我來，走這邊。】",
dd/lock0,Text,," Kio
【I don't think it's good to go outside.】"," Kio
【暂时还是别出去为妙。】"," Kio
【暫時還是別出去為妙。】",
dd/d2,Text,," Bobo
【My home is upstairs.】"," 波波
 【上面三楼就是我家了。】"," 波波
 【上面三樓就是我家了。】",
dd/d3,Text,," Kio
【I wish you rest in peace.】"," Kio
【愿天堂没有僵尸。】"," Kio
【願天堂沒有僵屍。】",
dd03/dont go back,Text,," Kio
【I don't want to go back again.】"," Kio
【不想再进去。】"," Kio
【不想再進去。】",
savepants/dd03,Text,,Front of Bo's home,波波家门前,波波家門前,
d03/bobo catch,Text,," Bobo
【Hahaha! I catch you!】"," 波波
【哈哈哈，我找到你了！】"," 波波
【哈哈哈，我找到你了！】",
d03/air condition,Text,," Kio
【An air conditioning. Nothing special.】"," Kio
【普通的空调，没什么特别】"," Kio
【普通的空調，沒什麼特別】",
d03/gui,Text,," Kio
【There are shoes in the shoe case.】"," Kio
【鞋柜上摆放着鞋子。】"," Kio
【鞋櫃上擺放著鞋子。】",
d03/light,Text,," Kio
【Standing lamp.】"," Kio
【普通的灯。】"," Kio
【普通的燈。】",
d03/picture,Text,," Kio
【Japanese style painting.】"," Kio
【日本风格的挂画。】"," Kio
【日本風格的掛畫。】",
d03/table,Text,," Kio
【A table.】"," Kio
【普通的饭桌。】"," Kio
【普通的飯桌。】",
d03/a0,Text,," Bobo
【Well, here is my home. It's safe.】"," 波波
【这里就是我家，蛮安全的。】"," 波波
【這裡就是我家，蠻安全的。】",
d03/a1,Text,," Bobo
【Currently it's chaotic outside.】"," 波波
【现在外面的城市都乱成一片了。】"," 波波
【現在外面的城市都亂成一片了。】",
d03/a2,Text,," Bobo
【I think you'd better stay here.】"," 波波
【我建议你还是留在这里比较好。】"," 波波
【我建議你還是留在這裡比較好。】",
d03/a3,Text,," Kio
【Thank you so much.】"," Kio
【真的十分感谢你。】"," Kio
【真的十分感謝你。】",
d03/a4,Text,," Kio
【However I still want to get in touch with my friends and family.】"," Kio
【不过我还是希望能联系到我的朋友和家人。】"," Kio
【不過我還是希望能聯繫到我的朋友和家人。】",
d03/a5,Text,," Kio
【May I use your phone?】"," Kio
【你有电话可以借我打一下吗？】"," Kio
【你有電話可以借我打一下嗎？】",
d03/a6,Text,," Bobo
【Now the phones are useless. They are all no signal.】"," 波波
【现在电话都没用了，一律没有信号。】"," 波波
【現在電話都沒用了，一律沒有信號。】",
d03/a7,Text,," Bobo
【You seem to be tired. I am going to give you a cup of tea.】"," 波波
【对了，你累了这么久，先给你倒杯茶吧。】"," 波波
【對了，你累了這麼久，先給你倒杯茶吧。】",
d03/a8,Text,," Bobo
【Wait a second.】"," 波波
【等我一下。】"," 波波
【等我一下。】",
d03/b0,Text,," Bobo
【Take it yourself.】"," 波波
【来，趁热喝。】"," 波波
【來，趁熱喝。】",
d03/b1,Text,," Kio
【Thank you.】"," Kio
【谢谢你。】"," Kio
【謝謝你。】",
d03/b2,Text,," Kio
【(Drinking tea..)】"," Kio
【（咕噜咕噜地喝）】"," Kio
【（咕嚕咕嚕地喝）】",
d03/b3,Text,," Kio
【Eh?? I feel... dizzy...】"," Kio
【咦。。。好晕。。。】"," Kio
【咦。。。好暈。。。】",
d03/b4,Text,," Bobo
【Hey hey hey hey hey...】"," 波波
【嘿嘿嘿嘿。。。。。】"," 波波
【嘿嘿嘿嘿。。。。。】",
d03/b5,Text,," Kio
【Why do I feel sleepy...】"," Kio
【怎么突然这么困。。】"," Kio
【怎麼突然這麼困。。】",
d03/b6,Text,," Bobo
【Because I put some sleeping pills in your cup!】"," 波波
【刚刚的茶里面下了安眠药！嘿嘿嘿！】"," 波波
【剛剛的茶裡面下了安眠藥！嘿嘿嘿！】",
d03/b7,Text,," Kio
【What!! Seriously!?】 "," Kio
【什么！！你！！！！居然！！】 "," Kio
【什麼！！你！！！！居然！！】",
d03/b8,Text,," Kio
【What do you want to ...】"," Kio
【你想怎样。。。】"," Kio
【你想怎樣。。。】",
d03/b9,Text,," Kio
【.......】"," Kio
【。。。。。。】"," Kio
【。。。。。。】",
d03/c0,Text,," Bobo
【Ha ha ha ha!!】"," 波波
【哈哈哈哈！！】"," 波波
【哈哈哈哈！！】",
d03/c1,Text,," Bobo
【You are stupid!!】"," 波波
【真的太蠢了！！！】"," 波波
【真的太蠢了！！！】",
d03/c2,Text,," Bobo
【I feel a little bit thirsty. (Drink the tea...)】"," 波波
【我也有点渴了。（喝了一口茶）】"," 波波
【我也有點渴了。（喝了一口茶）】",
d03/c3,Text,," Bobo
【Damn! I drank it!!】"," 波波
【咦！！！不小心自己也喝了一口！！！】"," 波波
【咦！！！不小心自己也喝了一口！！！】",
d03/c4,Text,," Bobo
【I am stupid too!!!】"," 波波
【我是傻逼吗！！！】"," 波波
【我是傻逼嗎！！！】",
d03/c5,Text,," Bobo
【Oh God! Sleepy!】"," 波波
【天啊！我也有点困了！！】"," 波波
【天啊！我也有點困了！！】",
d03/c6,Text,," Bobo
【Hold on! I have to tie her up at first!】"," 波波
【不行，先把她绑起来！】"," 波波
【不行，先把她綁起來！】",
d03/c7,Text,," Bobo
【Tie her hands up..】"," 波波
【先把手绑起来。】"," 波波
【先把手綁起來。】",
d03/c8,Text,," Bobo
【Damn it!! Too sleepy! Tied up the hands should be no problem..】"," 波波
【不行了！太困了！绑了手应该没问题的。】"," 波波
【不行了！太困了！綁了手應該沒問題的。】",
d03/c9,Text,," Bobo
【I will punish you after a sweet dream!!】"," 波波
【我也睡一觉再起来处置你！】"," 波波
【我也睡一覺再起來處置你！】",
dream/a0,Text,," Domini
【Kio...】"," 多明妮
【Kio。。。】"," 多明妮
【Kio。。。】",
dream/a1,Text,," Domini
【Help me...】"," 多明妮
【救我。。。。。。】"," 多明妮
【救我。。。。。。】",
dream/a2,Text,," Domini
【Woo woo woo...】"," 多明妮
【呜呜呜。。。】"," 多明妮
【嗚嗚嗚。。。】",
dream/a3,Text,," Domini
【Please help...】"," 多明妮
【好疼。。。呜呜呜】"," 多明妮
【好疼。。。嗚嗚嗚】",
d05/bed,Text,," Kio
【He's sleeping. Keep quiet.】"," Kio
【他睡着了，不要弄醒他。】"," Kio
【他睡著了，不要弄醒他。】",
d05/pc,Text,," Kio
【Computer and tissue box on the desk.】"," Kio
【普通的电脑，桌面上还有抽纸。】"," Kio
【普通的電腦，桌面上還有抽紙。】",
d05/tv,Text,," Kio
【Oh that's a Wii machine.】"," Kio
【哦，是wii游戏机，好怀念。】"," Kio
【哦，是wii遊戲機，好懷念。】",
d05/tv2,Text,," Kio
【I miss the days when I play games with friends.】"," Kio
【回想起以前跟同学一起玩的画面呢。】"," Kio
【回想起以前跟同學一起玩的畫面呢。】",
d05/gui,Text,," Kio
【There are naked female figures in that case.】"," Kio
【柜子里摆放着手办，都是裸露的女性呢。】"," Kio
【櫃子裡擺放著手辦，都是裸露的女性呢。】",
d05/book,Text,," Kio
【There are many comic books.】"," Kio
【都是漫画书，《漂流教室》，《漩涡》，《敏行快跑》】"," Kio
【都是漫畫書，《漂流教室》，《漩渦》，《敏行快跑》】",
d05/book2,Text,," Kio
【Most of them are H18..】"," Kio
【《庸才》，《青春的幻想》。】"," Kio
【《庸才》，《青春的幻想》。】",
d05/a0,Text,," Kio
【Ah!! Domini!!】"," Kio
【啊！！！多明妮！！】"," Kio
【啊！！！多明妮！！】",
d05/a1,Text,," Kio
【That..was a dream..】"," Kio
【原来。。。原来是做梦。。】"," Kio
【原來。。。原來是做夢。。】",
d05/a2,Text,," Kio
【Why did I sleep?】"," Kio
【怎么我会睡过去了？】"," Kio
【怎麼我會睡過去了？】",
d05/a3,Text,," Kio
【Eh!!??】"," Kio
【咦！！！？？？！？】"," Kio
【咦！！！？？？！？】",
d05/a4,Text,," Kio
【My hands!! Can't move!】"," Kio
【手......手被绑起来了！】"," Kio
【手......手被綁起來了！】",
d05/a5,Text,," Kio
【Oh!! It should be that guy!!】"," Kio
【对了！一定是那个死宅搞的鬼......】"," Kio
【對了！一定是那個死宅搞的鬼......】",
d05/a6,Text,," Kio
【No!!】"," Kio
【......难道！】"," Kio
【......難道！】",
d05/a7,Text,," Kio
【What if that shit did something bad to me!?!?】"," Kio
【我刚刚被玷污了吗！！！】"," Kio
【我剛剛被玷污了嗎！！！】",
d05/a8,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】",
d05/a9,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】",
d05/a10,Text,," Kio
【\0.1.\0.1.】"," Kio
【\0.1.\0.1.】"," Kio
【\0.1.\0.1.】",
d05/a11,Text,," Kio
【I think it shouldn't be..】"," Kio
【应该没有的......】"," Kio
【應該沒有的......】",
d05/a12,Text,," Kio
【Let me calm. Let me calm...】"," Kio
【不要自己吓自己......】"," Kio
【不要自己嚇自己......】",
d05/a13,Text,," Kio
【But..If he did, how can I...】"," Kio
【但......但是如果有怎么办？！！？】"," Kio
【但......但是如果有怎麼辦？！！？】",
d05/a14,Text,," Kio
【......】"," Kio
【......】"," Kio
【......】",
d05/a15,Text,," Kio
【Impossible. I am still wearing my clothes.】"," Kio
【不可能，衣服还这么整齐。】"," Kio
【不可能，衣服還這麼整齊。】",
d05/a16,Text,," Kio
【But, what does he want to do to me?】"," Kio
【但，但是他抓我起来想干嘛。】"," Kio
【但，但是他抓我起來想幹嘛。】",
d05/a17,Text,," Bobo
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】"," 波波
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】"," 波波
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】",
d05/a18,Text,," Kio
【Anyway, it's a good chance to run when he is sleeping.】"," Kio
【他好像睡着了，趁机溜出去吧！】"," Kio
【他好像睡著了，趁機溜出去吧！】",
d05/b0,Text,," Kio
【It's locked. I think all of my items are in this case.】"," Kio
【上锁了，感觉我的东西都在里面。】"," Kio
【上鎖了，感覺我的東西都在裡面。】",
d05/b1,Text,," Kio
【It's empty.】"," Kio
【里面空空如也。】"," Kio
【裡面空空如也。】",
d05/b2,Text,," Kio
【Great, my things are back to me.】"," Kio
【太好了，所有物品都拿回来了。】"," Kio
【太好了，所有物品都拿回來了。】",
d05/b3,Text,," Kio
【It's about time to revenge.】"," Kio
【我该好好处理一下这个死胖子。】"," Kio
【我該好好處理一下這個死胖子。】",
d05/aa,Text,," Kio
【What happened to me??】"," Kio
【怎......怎么回事？】"," Kio
【怎......怎麼回事？】",
d04/a0,Text,," Bobo
【You are here!】"," 波波
【原来你在这里！】"," 波波
【原來你在這裡！】",
d04/a1,Text,," Bobo
【I thought you are gone.】"," 波波
【我还以为你不见了。】"," 波波
【我還以為你不見了。】",
d04/a2,Text,," Kio
【Stay there! Stinky shit!!】"," Kio
【你不要过来！你这个恶心的东西！】"," Kio
【你不要過來！你這個噁心的東西！】",
d04/p0,Text,,Found a key. Pick it up?,身上发现住宅钥匙，是否拾取？,身上發現住宅鑰匙，是否拾取？,
d04/p1,Text,,Get a key,捡到住宅钥匙,撿到住宅鑰匙,
d04/b0,Text,," Bobo
【Ah! Impossible!】"," 波波
【啊！怎！！怎么可能！！】"," 波波
【啊！怎！！怎麼可能！！】",
d04/b1,Text,," Bobo
【When did you get your gears back!】"," 波波
【你什么时候！！拿回武器的！！】"," 波波
【你什麼時候！！拿回武器的！！】",
d04/b2,Text,," Kio
【Go to hell!】"," Kio
【去死吧！】"," Kio
【去死吧！】",
d04/b3,Text,," Kio
【I don't want to see you any more!】"," Kio
【不想再看到你的脸！！】"," Kio
【不想再看到你的臉！！】",
d06/f0,Text,," Kio
【I don't want to open again.】"," Kio
【不想再打开冰箱。】"," Kio
【不想再打開冰箱。】",
d06/f1,Text,," Kio
【What is this!! Scary!】"," Kio
【这是什么......太......太可怕了。】"," Kio
【這是什麼......太......太可怕了。】",
d06/f2,Text,," Kio
【Why are there two heads in the fridge!?】"," Kio
【怎么会有两个人头在这里！】"," Kio
【怎麼會有兩個人頭在這裡！】",
d06/f3,Text,," Kio
【Does he want to do to me in this way?】"," Kio
【难道本来也打算把我这样处置吗？】"," Kio
【難道本來也打算把我這樣處置嗎？】",
d06/f3[touch],Text,," Kio
【Does he want to do it in this way?】"," Kio
【难道本来也打算把我这样处置吗？】"," Kio
【難道本來也打算把我這樣處置嗎？】",
d06/f4,Text,," Kio
【Hold on. There is a key.】"," Kio
【等等，好像有把钥匙。】"," Kio
【等等，好像有把鑰匙。】",
d06/f99,Text,," Kio
【I have to free my hands before getting the key.】"," Kio
【手被绑着，取到钥匙也难以使用，先想办法让手松开吧。】"," Kio
【手被綁著，取到鑰匙也難以使用，先想辦法讓手鬆開吧。】",
d06/f99[touch],Text,," Kio
【I have to free my hand before getting the key.】"," Kio
【手被绑着，取到钥匙也难以使用，先想办法让手松开吧。】"," Kio
【手被綁著，取到鑰匙也難以使用，先想辦法讓手鬆開吧。】",
d06/f,Text,," Kio
【!!!!!!!!】"," Kio
【！！！！！！！！！！！！！！！！！！！！！！】"," Kio
【！！！！！！！！！！！！！！！！！！！！！！】",
d06/fh,Text,,Pick the key in blood?,要取走染血钥匙吗？,要取走染血鑰匙嗎？,
d06/fp,Text,,Get the key from blood,拾取了血染的钥匙,拾取了血染的鑰匙,
d06/g,Text,," Kio
【Well, finally I free my hands.】"," Kio
【呼，手终于能自由活动了。】"," Kio
【呼，手終於能自由活動了。】",
d06/g2,Text,," Kio
【I have to figure out how I get my gears back.】"," Kio
【得想想办法把道具拿回来。】"," Kio
【得想想辦法把道具拿回來。】",
d06/p,Text,," Kio
【Hand wash basin with blood.】"," Kio
【沾满血迹的洗手盆。】"," Kio
【沾滿血跡的洗手盆。】",
d06/z,Text,," Kio
【Human's Arms!!】"," Kio
【似乎.....是人的手......】"," Kio
【似乎.....是人的手......】",
d06/z2,Text,," Kio
【Hurry up to leave....】"," Kio
【好想快点离开这里......】"," Kio
【好想快點離開這裡......】",
d06/go,Text,," Kio
【Bloody organs......】"," Kio
【血淋淋的肢体与内脏......】"," Kio
【血淋淋的肢體與內臟......】",
d06/go2,Text,," Kio
【I want to vomit......】"," Kio
【我好想吐......】"," Kio
【我好想吐......】",
d06/a0,Text,," Kio
【Here should be something can be used to cut the rope off my hands.】"," Kio
【这里应该有东西可以隔开手上的绳子。】"," Kio
【這裡應該有東西可以隔開手上的繩子。】",
d06/a2,Text,," Kio
【Let me look around.】"," Kio
【我找找看。】"," Kio
【我找找看。】",
d06/b0,Text,," Bobo
【What a loud thunder! It totally woke me up!】"," 波波
【啊，这个雷也太响了，把我都吵醒了。】"," 波波
【啊，這個雷也太響了，把我都吵醒了。】",
d06/b2,Text,," Bobo
【Eh? Where is that girl?】"," 波波
【咦？那个女生去哪了？？？】"," 波波
【咦？那個女生去哪了？？？】",
d06/b3,Text,," Bobo
【Did she run away!? Great courage!】"," 波波
【逃走了！？好大的胆子！！！】"," 波波
【逃走了！？好大的膽子！！！】",
d06/b4,Text,," Bobo
【It shouldn't be. I have the key with me!!】"," 波波
【不对，钥匙还在我身上！！！】"," 波波
【不對，鑰匙還在我身上！！！】",
d06/b5,Text,," Bobo
【She can't leave without my key!! Bitch! Come out quickly!】"," 波波
【不可能逃走了！！！！妈的！！！给我出来！！】"," 波波
【不可能逃走了！！！！媽的！！！給我出來！！】",
d06/b6,Text,," Bobo
【Are you in the kitchen!? I am going to kill you bitch!】"," 波波
【是不是躲去厨房了！！！看我来把你弄死！】"," 波波
【是不是躲去廚房了！！！看我來把你弄死！】",
d06/b7,Text,," Kio
【No!! He is coming to me!】"," Kio
【不好了！他要来厨房找我！】"," Kio
【不好了！他要來廚房找我！】",
d06/b8,Text,," Kio
【Hurry up to hide into the toilet.】"," Kio
【赶紧去厕所躲起来。】"," Kio
【趕緊去廁所躲起來。】",
d06/cut rope,Text,,Cut the rope off,绳子被割开了,繩子被割開了,
d07/g,Text,," Kio
【I wish to take a shower. But not now.】"," Kio
【好想洗澡啊，但现在不是时候。】"," Kio
【好想洗澡啊，但現在不是時候。】",
d07/t,Text,," Kio
【I don't want to defecate now.】"," Kio
【现在并不想大便。】"," Kio
【現在並不想大便。】",
d07/t2,Text,," Kio
【Neither urinate.】"," Kio
【小便也不想。】"," Kio
【小便也不想。】",
d07/w,Text,," Kio
【A hand wash basin. Normally.】"," Kio
【普通的洗手盆，没有什么特别。】"," Kio
【普通的洗手盆，沒有什麼特別。】",
d07/a,Text,," Bobo
【Where did you go!!】"," 波波
【躲到哪里出去！！】"," 波波
【躲到哪裡出去！！】",
d07/a2,Text,," Bobo
【Holy shit! All the lights don't work!!】"," 波波
【妈的怎么灯都坏了！！！】"," 波波
【媽的怎麼燈都壞了！！！】",
d07/a3,Text,," Bobo
【Get out bitch!!】"," 波波
【贱人给我出来！！！】"," 波波
【賤人給我出來！！！】",
d07/a4,Text,," Bobo
【!!!!!!】"," 波波
【！！！！！！】"," 波波
【！！！！！！】",
d07/a5,Text,," Bobo
【I will kill you!!!】"," 波波
【杀死你哦！！！！！！！！！！】"," 波波
【殺死你哦！！！！！！！！！！】",
d07/a6,Text,," Bobo
【Cut all of your fingers off!!!!!!】"," 波波
【我要把你手指一根一根切下来！】"," 波波
【我要把你手指一根一根切下來！】",
d07/a7,Text,," Bobo
【Ha...Ha ha...】"," 波波
【哈。。。。哈哈哈。。。】"," 波波
【哈。。。。哈哈哈。。。】",
d07/a8,Text,," Bobo
【And...Ha ha... Cook your organs!!】"," 波波
【然后。。哈哈。内脏也挖出来煮汤。】"," 波波
【然後。。哈哈。內臟也挖出來煮湯。】",
d07/a9,Text,," Bobo
【Cut your head and put it in the fridge! Stay with my parents' !】"," 波波
【头也切下来，放到冰箱跟爸爸妈妈好好相处吧。】"," 波波
【頭也切下來，放到冰箱跟爸爸媽媽好好相處吧。】",
d07/a10,Text,," Bobo
【Eat your body!!!!!】"," 波波
【虽然你的肉不多，不过也够我吃几顿。】"," 波波
【雖然你的肉不多，不過也夠我吃幾頓。】",
d07/a11,Text,," Bobo
【Are you in the living room?? Bitch I am coming!!!】"," 波波
【到底躲哪儿了！！是不是在客厅！！！！】"," 波波
【到底躲哪兒了！！是不是在客廳！！！！】",
d07/a12,Text,," Kio
【I think I can leave safely now.】"," Kio
【现在出去应该没事了。】"," Kio
【現在出去應該沒事了。】",
savepants/d07,Text,,Toilet,厕所,廁所,
savepants/e01,Text,,School gate,学校操场,學校操場,
e01/a0,Text,," Kio
【!!!!】"," Kio
【！！！！】"," Kio
【！！！！】",
e01/a1,Text,," Kio
【This is not a dream!!】"," Kio
【这！！这不是做梦！！】"," Kio
【這！！這不是做夢！！】",
e01/a2,Text,," Kio
【Domini! Where are you!?】"," Kio
【多明妮！！你在哪！？！！】"," Kio
【多明妮！！你在哪！？！！】",
e01/a3,Text,," Kio
【.....】"," Kio
【。。。。。】"," Kio
【。。。。。】",
e01/a4,Text,," Kio
【There is a school in front of me.】"," Kio
【前面就是学校了。】"," Kio
【前面就是學校了。】",
